date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-03-15,sh.600276,46.2500,46.2700,45.0500,45.1300,1449958,66298001.0000,3,0.233584,1,-1.976500,42.080279,10.742709,9.248763,86.983405,0
2010-03-16,sh.600276,45.5800,45.7700,45.2300,45.5900,598955,27220162.0000,3,0.096490,1,1.019300,42.509194,10.852207,9.343034,87.870007,0
2010-03-17,sh.600276,37.9100,39.4800,37.9100,39.1800,845657,32887107.0000,3,0.113527,1,3.350000,43.838830,11.191651,9.635272,90.618475,0
2010-03-18,sh.600276,39.1900,39.2200,37.4700,39.0500,751757,29091013.0000,3,0.100922,1,-0.331800,43.693372,11.154517,9.603302,90.317801,0
2010-03-19,sh.600276,39.0100,39.4900,38.6000,39.4000,1114430,43752742.0000,3,0.149610,1,0.896300,44.084990,11.254493,9.689376,91.127308,0
2010-03-22,sh.600276,39.3500,39.8000,39.0600,39.2800,1164007,45876402.0000,3,0.156265,1,-0.304600,43.950721,11.220216,9.659865,90.849762,0
2010-03-23,sh.600276,39.5000,39.6700,38.5000,38.7800,1015718,39381775.0000,3,0.136358,1,-1.272900,43.391267,11.077392,9.536903,89.693325,0
2010-03-24,sh.600276,38.4800,38.9800,38.4200,38.5500,689727,26693036.0000,3,0.092594,1,-0.593100,43.133918,11.011693,9.480341,89.161363,0
2010-03-25,sh.600276,38.5000,38.5500,37.9800,38.1900,723207,27569983.0000,3,0.097089,1,-0.933900,42.731111,10.908861,9.391808,88.328728,0
2010-03-26,sh.600276,38.1600,38.2400,37.7800,38.2400,788475,29952117.0000,3,0.105851,1,0.130900,42.787056,10.923143,9.404105,88.444372,0
2010-03-29,sh.600276,38.2800,39.2800,37.7700,39.2200,3504382,133319322.0000,3,0.470455,1,2.562800,43.883586,11.203077,9.645109,90.710990,0
2010-03-30,sh.600276,39.0000,39.3400,38.7200,39.2000,1430150,56031432.0000,3,0.191994,1,-0.051000,43.861208,11.197364,9.640191,90.664732,0
2010-03-31,sh.600276,39.2100,39.2200,38.5300,39.2100,1358383,52856344.0000,3,0.182360,1,0.025500,43.872397,11.200221,9.642650,90.687861,0
2010-04-01,sh.600276,39.2600,40.1000,38.8700,39.7900,2773735,110219782.0000,3,0.372367,1,1.479200,44.521364,11.365896,9.785286,92.029329,0
2010-04-02,sh.600276,39.9800,41.5200,39.7900,40.9800,3283149,132091174.0000,3,0.440755,1,2.990700,45.852865,11.705816,10.077934,94.781651,0
2010-04-06,sh.600276,40.9900,41.5300,40.4500,40.9000,916707,37621187.0000,3,0.123066,1,-0.195200,45.763352,11.682964,10.058260,94.596621,0
2010-04-07,sh.600276,40.9100,41.6800,40.5000,41.6300,1782182,73663556.0000,3,0.239254,1,1.784800,46.580155,11.891486,10.237784,96.285021,0
2010-04-08,sh.600276,41.5600,42.0000,41.2000,41.5800,1030510,43081668.0000,3,0.138344,1,-0.120100,46.524210,11.877204,10.225488,96.169377,0
2010-04-09,sh.600276,41.5800,41.5800,41.5800,41.5800,0,0.0000,3,,0,0.000000,46.524210,11.877204,10.225488,96.169377,0
2010-04-12,sh.600276,41.5800,41.5800,41.5800,41.5800,0,0.0000,3,,0,0.000000,46.524210,11.877204,10.225488,96.169377,0
2010-04-13,sh.600276,42.7000,44.7800,42.7000,43.6700,9398038,409937577.0000,3,1.261665,1,5.026500,48.862728,12.474206,10.739468,101.003287,0
2010-04-14,sh.600276,43.6900,47.0000,42.7100,46.4200,5162587,234131384.0000,3,0.693065,1,6.297200,51.939726,13.259736,11.415757,107.363696,0
2010-04-15,sh.600276,46.4200,46.4200,44.0900,45.2000,2979836,133883838.0000,3,0.400036,1,-2.628200,50.574658,12.911246,11.115730,104.541987,0
2010-04-16,sh.600276,44.9000,45.9600,44.0000,45.2800,1444210,65228826.0000,3,0.193882,1,0.177000,50.664171,12.934098,11.135404,104.727017,0
2010-04-19,sh.600276,45.2500,45.6800,44.0700,45.3800,1519123,68439603.0000,3,0.203939,1,0.220800,50.776062,12.962663,11.159996,104.958305,0
2010-04-20,sh.600276,45.2800,47.3000,43.0000,46.8600,1969725,90473617.0000,3,0.264431,1,3.261300,52.432046,13.385420,11.523963,108.381361,0
2010-04-21,sh.600276,46.6400,47.4800,46.0000,46.9100,1151693,54125505.0000,3,0.154612,1,0.106700,52.487992,13.399703,11.536259,108.497005,0
2010-04-22,sh.600276,46.1100,47.4700,45.5500,47.4400,1091079,50869685.0000,3,0.146475,1,1.129800,53.840250,12.854810,10.840190,420.332137,0
2010-04-23,sh.600276,47.3300,47.8000,46.5800,46.8800,984891,46437674.0000,3,0.132219,1,-1.180400,53.204699,12.703067,10.712228,415.370375,0
2010-04-26,sh.600276,46.8100,47.3000,45.7600,46.0600,1189958,55003654.0000,3,0.159749,1,-1.749100,52.274071,12.480872,10.524855,408.104937,0
2010-04-27,sh.600276,45.3000,45.9800,44.4000,45.2800,1875855,84752106.0000,3,0.251829,1,-1.693400,51.388839,12.269515,10.346623,401.193911,0
2010-04-28,sh.600276,44.5100,46.0000,44.5100,45.8500,861267,39256760.0000,3,0.115623,1,1.258800,52.035739,12.423968,10.476870,406.244276,0
2010-04-29,sh.600276,45.8800,46.3400,43.7200,43.9700,994382,44903109.0000,3,0.133493,1,-4.100300,49.902103,11.914545,10.047284,389.586932,0
2010-04-30,sh.600276,44.2900,44.3800,41.7000,42.7800,2145858,91808820.0000,3,0.288076,1,-2.706400,48.551558,11.592091,9.775365,379.043187,0
2010-05-04,sh.600276,42.0000,45.2000,42.0000,43.7100,1575810,69943303.0000,3,0.211549,1,2.173900,49.607026,11.844093,9.987873,387.283257,0
2010-05-05,sh.600276,43.8200,44.8900,43.3000,43.9800,3053134,134940172.0000,3,0.409876,1,0.617700,49.913453,11.917254,10.049569,389.675535,0
2010-05-06,sh.600276,43.7800,45.3000,43.5300,43.7100,1942008,86620444.0000,3,0.260710,1,-0.613900,49.607026,11.844093,9.987873,387.283257,0
2010-05-07,sh.600276,43.4000,45.0000,42.1000,44.6200,1738792,76067646.0000,3,0.233429,1,2.081900,50.639797,12.090675,10.195811,395.346120,0
2010-05-10,sh.600276,43.8000,44.4900,42.5500,43.6200,842998,36728661.0000,3,0.113171,1,-2.241100,49.504884,11.819705,9.967308,386.485831,0
2010-05-11,sh.600276,44.2000,44.5200,42.6000,43.0500,947270,41024328.0000,3,0.127169,1,-1.306700,48.857984,11.665252,9.837061,381.435466,0
2010-05-12,sh.600276,43.0000,43.3900,41.3800,41.4100,2170399,91944407.0000,3,0.291371,1,-3.809500,46.996727,11.220862,9.462316,366.904591,0
2010-05-13,sh.600276,41.5000,42.9900,41.5000,42.6800,1585295,66960010.0000,3,0.212822,1,3.066900,48.438066,11.564994,9.752515,378.157158,0
2010-05-14,sh.600276,42.6500,44.7900,42.6000,44.5400,1669067,73801319.0000,3,0.224068,1,4.358000,50.549004,12.068998,10.177531,394.637297,0
2010-05-17,sh.600276,44.2000,45.1800,43.6700,43.8200,1361097,60422301.0000,3,0.182724,1,-1.616500,49.731867,11.873899,10.013008,388.257889,0
2010-05-18,sh.600276,43.6000,44.3500,42.0100,42.8200,1243083,53177240.0000,3,0.166881,1,-2.282100,48.596954,11.602929,9.784505,379.397599,0
2010-05-19,sh.600276,42.8400,44.0000,42.1100,43.5000,953511,41341937.0000,3,0.128007,1,1.588000,49.368695,11.787189,9.939887,385.422596,0
2010-05-20,sh.600276,43.6500,43.9200,43.0000,43.1000,988239,42948122.0000,3,0.132669,1,-0.919500,48.914730,11.678801,9.848486,381.878480,0
2010-05-21,sh.600276,42.1800,43.7400,41.9900,43.4000,491877,21229571.0000,3,0.066033,1,0.696100,49.255203,11.760092,9.917037,384.536567,0
2010-05-24,sh.600276,43.2600,45.1900,43.2600,44.6000,986417,44228628.0000,3,0.132424,1,2.765000,50.617098,12.085256,10.191241,395.168914,0
